ID,Connection,Narrative fragment,Name,Class,Groups,Scale,Posneg,Issue,Participant speech
1,"1,9",,IPTV user,Actor,Client's home,3,22,Client's economic circumstances are varying and often unstable. Serious impact of income variation for client. Ownership of card debated.,"the Client can no longer get around the house, and not able to work and not able to earn money, and all sorts of things like that'; 'now we've made a very good point, the service provider issues the card but thecClient owns it.'"
1,"1,4",,IPTV user,Actor,Client's home,3,22,Client's economic circumstances are varying and often unstable. Serious impact of income variation for client. Ownership of card debated.,"the Client can no longer get around the house, and not able to work and not able to earn money, and all sorts of things like that'; 'now we've made a very good point, the service provider issues the card but thecClient owns it.'"
1,"1,20",,IPTV user,Actor,Client's home,3,22,Client's economic circumstances are varying and often unstable. Serious impact of income variation for client. Ownership of card debated.,"the Client can no longer get around the house, and not able to work and not able to earn money, and all sorts of things like that'; 'now we've made a very good point, the service provider issues the card but thecClient owns it.'"
2,"3,7",,IPTV users Card,Infrastructure,Client's home,7.5,8.5,Usefulness of card.,the card should be in the middle shouldn't it'
3,"3,9",,IPTV users TV,Infrastructure,Client's home,14.25,0.5,Centrality of TV to Client.,"and it's big to them, the television, big to them.'"
4,"4,21",,IPTV users Remote,Infrastructure,Client's home,1.5,2.5,Clients online purchase.,"so we have, remote control, operates the television, out into the world, and uses the card, to purchase'; 'is the remote control part of security?'; 'it's the logon point.'"
5,"9,8",,IPTV user Location,Location,Client's home,0.525,1,Clients interest extends outwards from TV.,that's like the antenna.'
6,"6,3",,IPTV users TV Antenna,Infrastructure,Client's home,6.5,0,Connectivity between TV and Card-  connection between Client and Service provider,"it's both the together and the separateness of it, and that's quite interesting actually.'"
7,"7,25",,Antenna on Card,Infrastructure,Banking platform,6,0,,
8,"8,13",,Data - TV to Card,Data,Client's home,1.75,0.5,Client accesses IPTV infrastructure to make a purchase online.,
9,"9,8",,IPTV user boundary,Location,Client's home,0.525,1,Clients interest extends outwards from TV.,that's like the antenna.'
10,"10, 11",,Data - Remote to TV,Data,Client's home,1.125,0,,
11,"11,3",,IPTV users Raspberry Pi,Infrastructure,Client's home,4.625,1.5,Raspberry Pi described as a gateway to all other locations,it's the gateway.'
12,"12,17",,Cloud,Actor,Cloud service provider,9.75,1.5,Security on Cloud and hacking.,and in the cloud. someone can hack the cloud.'
12,"12,18",,Cloud,Actor,Cloud service provider,9.75,1.5,Security on Cloud and hacking.,and in the cloud. someone can hack the cloud.'
13,"13,14",,IPTV users online purchase,Data,Online retailer,1.25,0.5,Client purchase transaction via Cloud.,"the line, is not, it is a data line, but we want to say it is a purchase.'"
14,"14,2",,Protection on Cloud,Infrastructure,Cloud service provider,1.875,8.5,Security on Cloud represented as a white hard hat.,"you could just have a hard-hat in the cloud couldn't you, a white hat'; 'what we're saying is, security is not a one-stop shop, it's got many facets.'"
15,"15,16",,Bank,Actor,Banking platform,26.25,4,Banking Platform accessed by Client and Service provider. Distinction between this service and other account mechanisms.,"'because we're assuming those customers are serviced through this account, then the our account has to be there.'"
